Firstname,Middlename,Lastname,Sex,House_No,Street,Subdivision,Date_of_Birth,Place_of_Birth,Civil_Status,Occupation,Email,Contact_No,Voter_Status,Citizenship,Household_No,OSY,PWD,Household_Head,Ext
YUU,UYUY,YYU,Male,2,AASD,ASDASD,10/4/2023,JGF,Widowed,URY,,,,YTYR,,N/A,,no,123
SJDBV,KSDDB,YUL,Male,213,JVB,SDV,10/11/2023,SDV,Widowed,KJABS,,,,KSJBDVK,,N/A,,no,23
KSDBV,SDJBV,NAKSU,Male,21,DKVBJ,SSDV,10/10/2023,JDBV,Married,JDSBAV,,,,"S,DBV",,N/A,,no,23
SV,SDVB,POW,Female,21,DKVBJ,SSDV,10/3/2023,"S,MV",Widowed,KN,,,,SDV,,N/A,,no,42
SKJDBV,SDJBV,",SDV,",Male,321,CVB,SLDV,10/10/2023,JSKDBV,Single,LKDV,,,,SDNV,,N/A,,no,123
SKDVB,SDV,KLAY,Male,34,AAV,SDVA,10/17/2023,"S,DV",Single,KSDJBV,,,,"S,DBV",,N/A,,no,2134
SDV,SDKBV,BAY,Female,34,AAV,SDVA,10/9/2023,"SA,BCVAS",Married,KJV,,,,KJSABK,,N/A,,yes,234
SDV,KSDJBV,KSJBV,Female,23,SKDVB,SKDVBJ,10/10/2023,SAB,Single,AKSJBC,,,,SA,,N/A,,no,123
TYSON,MANNY,MKE,Male,9,TIRONA,MENDEZ,10/3/2023,MANILA,Single,BOXER,,,,FILIPINO,1,N/A,,,2
POWEN,POO,PWEE,Female,9,FREE,JOSON,10/14/2010,CAVITE,Single,STUDENT,renzvanni999@gmail.com,,,FILIPINO,8,N/A,,yes,
ELESES,FLARE,SIEGHART,Female,1,SAINT,HAVEN,10/11/2001,EVE,Single,WARRIOR,renzvanni999@gmail.com,,,ELF,5,N/A,,yes,
DESIR,NOURBUR,ARMAN,Male,9,HALLOW,PLAIN,9/3/2009,SAINT,Single,ANIT-MAGE,renzvanni999@gmail.com,,,FLIER,99,N/A,,yes,
